userID	VidID	fracSpent	fracComp	fracPlayed	fracPaused	numPauses	avgPBR	stdPBR	numRWs	numFFs	s
1f8b805c011bdc3e770debbb384c845c0def113b	[0, 1]	43.172967306056	0.5622029426645	0.8355975978785	0.09006921241049999	0.5	1.0	0.0	1.0	2.5	1.0
1f8bc3fa917ebf8bbe697c46b766eccda7ae01be	[0, 6, 7, 8, 9, 10, 11, 12, 13]	1.0124300188435553	0.7959613362734	0.9069259808083332	1.6811097361687182	0.7777777777777778	1.0	0.0	1.0	0.8888888888888888	0.2222222222222222
1f8edb2c206bca58f5258e075b431c6afdc75054	[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 15]	9.439825873268083	0.95070761103	1.0384231591560835	152.0611795336214	3.0833333333333335	1.7129515753983335	0.02452019358395004	0.6666666666666666	0.3333333333333333	0.6666666666666666
1f8fee9a931f1d2139ba5b32382c197cd802ba1c	[6, 7, 16]	1.0469305847750001	0.9960186646913334	1.044926229698	49.622667132836675	3.3333333333333335	1.0	0.0	0.0	0.0	0.3333333333333333
1fc0e10000430385124d419b9fd5cf8cc54f3685	[0, 1]	0.7190260193885001	0.711946160504	0.844187574151	203.05279483683793	2.5	1.456599128925	0.1019609385049	3.5	1.5	1.0
1fcf0d39e6189578444ee4246fc4daa69d78ec7e	[0, 1]	1.0139257520765	0.9952649733025001	1.008535708053	0.0718712280481	1.5	1.0	0.0	0.0	0.0	1.0
1ff5b80658b125df6f1c4772c0fd91c35b15cc9c	[0, 1, 2, 3, 4]	1.294057111296	0.7528700380654	1.1243277309494	63.882638432304155	4.6	1.0	0.0	1.2	0.4	0.8
2014fc13126bb56552e92b6645d6d8227457ae25	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	1.0029521174820002	0.994761225203	0.994761225203	0.8201695617641062	1.3125	1.0	0.0	0.0	0.0	0.5
201c07eddba2c0ca3ecaf36b1f45adcec3104b1c	[16, 17]	1.046986957005	0.997825869905	1.0349384428715	40.89067017325564	4.0	1.0	0.0	0.0	0.0	1.0
20384f499e8ff7ec7eb0ee87a15259377bdf1cdf	[0, 1, 2, 3, 4, 6, 7, 8, 22]	15.544991547372222	0.8676424423685555	1.7249209950626667	28.60344334718077	5.888888888888889	1.0	0.0	1.6666666666666667	1.1111111111111112	0.3333333333333333
20434de32fba493674ea51745f8711c10588fb51	[0, 1, 2, 3, 4, 5]	0.7354715890945	0.5100719628804333	0.7346997050019999	2.1232136041833334	0.16666666666666666	1.0	0.0	23.166666666666668	53.5	0.8333333333333334
206b8076763b5740826d9e251aa030f2b7fa4561	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35]	29.343020747237414	0.9519661041231655	1.0047691199435713	10.053104867716172	0.9714285714285714	1.7853494062260002	0.058136314706597185	0.17142857142857143	0.11428571428571428	0.8
20806da2355c49c7f39a36c51a711f53830ddb7e	[0, 1, 3, 4]	1.0615275294635	0.9955706441120001	0.9955706441120001	0.0015718973747025002	0.25	1.0	0.0	0.0	0.0	0.5
209742e7bd909a22fb9d0f4ccc8d65f9bf801000	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 28, 30, 31, 32]	34.52756307985895	0.6967813103699294	1.1092633226508708	42.56649295431686	2.1176470588235294	1.5138996362594117	0.02107160364142357	2.0	0.47058823529411764	0.8235294117647058
209a065728e0942a24bd3aa9eb76ed44c67e55f6	[0, 1, 2, 3, 10]	1.2912332101530002	0.9218412264893999	1.0928834862121999	2.635204336122	12.4	1.0	0.0	0.0	0.0	0.8
20c3866152ca35099cd5ec0219d6c768ea1559bd	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	23.29773114537343	0.18672222951936665	0.27144971063190476	0.12693090796308573	0.47619047619047616	0.6682950601766667	0.012210478463042898	1.0476190476190477	1.9523809523809523	0.6190476190476191
21099d3ddaafaa29e04f1190e2549d9859bd4c6c	[0, 1]	1.10717916675	0.580765025353	1.10582487688	0.19166016182	6.5	1.0	0.0	10.0	9.5	0.5
210f854b0afc3d476d711b2b41379954e48cfa44	[0, 1, 2, 3, 4]	0.6709991639538	0.9678757613438	0.9972545285636001	92.1995449605424	5.6	1.5	4.4408920985e-17	0.2	0.8	0.6
2110ecceb9b081346cc1ead1ed5299164e70aba5	[0, 1, 2, 3, 4, 6, 7, 8, 9]	32.36054290695956	0.9197662759575557	1.073396001938	0.6497998537909	0.7777777777777778	1.7424507972233334	0.051278833806066716	1.4444444444444444	0.0	0.6666666666666666
211eadbbc5712b0fa56918bfdf43cb0f271c8f78	[0, 1, 2, 3, 4, 6, 7, 11, 15, 21, 26, 31, 49, 55, 58, 59, 60]	9.075471150324997	0.8745537753853528	0.9621979606981174	1.1897838060477706	1.1764705882352942	1.044214152957647	0.001361729766852941	0.8823529411764706	1.3529411764705883	0.7647058823529411
